id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
241,a,,,5.5,158,99,0,0,0,0,0.2,375,137,0,0,2.4,252,104,0,0,0.0,417,150,0.0,9.6,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.11,0.15,0.26,1.46,0.0,281,129,0.0,140,96,0.0,199,110,0.0,241,123,,,,1,,Dwight,McNeil,McNeil,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.47,0.7,1.09,8.6,0,0,0
555,a,,,4.0,540,56,0,0,0,0,1.7,147,22,0,0,0.0,413,39,0,0,0.0,18,10,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407,39,0.0,392,23,0.0,373,14,0.0,409,39,,,,1,,Remi,Matthews,Matthews,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
577,a,,,4.5,435,103,0,0,0,0,0.3,324,122,0,0,0.0,467,175,0,0,0.0,113,75,0.0,0.0,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462,175,0.0,454,175,0.0,439,174,0.0,464,175,,,,1,,Takehiro,Tomiyasu,Tomiyasu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
588,a,,,5.0,372,74,0,0,0,0,0.0,498,169,0,0,0.0,549,190,0,0,0.0,349,157,0.0,0.0,0,0,0,0,0,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549,190,0.0,549,190,0.0,547,190,0.0,549,190,,,,1,,Anan,Khalaili,Khalaili,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
21,d,75.0,,5.0,237,143,0,0,0,0,0.4,289,95,0,0,1.0,377,173,0,0,0.0,214,30,0.0,1.4,0,0,0,0,0,1.1,,0.0,0.0,0.0,0.0,0.07,0.04,0.11,2.03,0.0,354,164,0.0,353,174,0.0,327,167,0.0,363,169,,,,1,,Christian,Nørgaard,Nørgaard,Lack of match fitness - 75% chance of playing,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.89,0.89,14.26,0,0,0
209,a,,,6.0,76,49,0,0,0,0,0.2,361,130,0,0,1.9,297,129,0,0,0.0,503,199,0.0,10.8,0,0,0,0,0,2.1,,0.0,0.0,0.0,0.0,0.13,0.07,0.2,1.49,0.0,237,107,0.0,118,82,0.0,132,76,0.0,181,89,,,,1,,Brennan,Johnson,Johnson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.32,1.26,1.0,6.37,0,0,0
226,a,,,5.5,115,2,0,0,0,0,8.4,54,7,0,0,3.6,92,9,0,0,0.0,374,63,0.0,24.5,0,0,0,0,0,3.3,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.48,0.0,15,4,0.0,323,6,0.0,357,3,0.0,149,5,,,,1,,Jordan,Pickford,Pickford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.63,0.29,1.32,1.0,0.0,0,0,0
227,a,,,5.0,282,13,0,0,0,0,0.0,516,59,0,0,0.0,515,64,0,0,0.0,259,55,0.0,0.0,0,0,0,0,0,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515,64,0.0,511,60,0.0,508,58,0.0,515,64,,,,1,,Mark,Travers,Travers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
228,a,,,4.5,411,30,0,0,0,0,0.0,509,56,0,0,0.0,464,55,0,0,0.0,89,30,0.0,0.0,0,0,0,0,0,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459,55,0.0,449,43,0.0,432,34,0.0,461,55,,,,1,,Tom,King,King,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
229,a,,,6.0,56,5,0,0,0,0,9.4,47,17,0,0,4.6,23,8,0,0,0.0,483,186,0.0,28.3,0,0,0,0,0,2.8,,0.0,0.0,0.0,0.0,0.07,0.06,0.13,1.45,0.0,6,3,0.0,146,35,0.0,57,3,0.0,38,5,,,,1,,James,Tarkowski,Tarkowski,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.3,1.3,1.0,10.16,0,0,0
230,a,,,5.5,184,27,0,0,0,0,1.8,137,58,0,0,3.2,149,59,0,0,0.0,443,178,0.0,5.8,0,0,0,0,0,2.5,,0.0,0.0,0.0,0.0,0.05,0.01,0.06,1.25,0.0,261,98,0.0,295,100,0.0,255,80,0.0,291,98,,,,1,,Jarrad,Branthwaite,Branthwaite,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.13,1.19,0.93,8.89,0,0,0
231,a,,,5.0,232,37,0,0,0,0,1.7,142,59,0,0,4.0,50,18,0,0,0.0,209,120,0.0,26.2,0,0,0,0,0,2.2,,0.0,0.0,0.0,0.0,0.08,0.02,0.1,1.55,0.0,33,13,0.0,288,97,0.0,99,14,0.0,104,28,,,,1,,Michael,Keane,Keane,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.24,1.46,1.01,10.5,0,0,0
232,a,,,5.0,349,71,0,0,0,0,0.5,254,95,0,0,3.1,159,65,0,0,0.0,326,154,0.0,23.2,0,0,0,0,0,2.2,,0.0,0.0,0.0,0.0,0.05,0.03,0.08,1.54,0.0,82,34,0.0,130,32,0.0,148,36,0.0,111,32,,,,1,,Jake,O'Brien,O'Brien,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.29,1.33,1.01,6.67,0,0,0
233,a,,,4.5,436,104,0,0,0,0,1.5,162,65,0,0,2.9,181,75,0,0,0.0,114,76,0.0,21.1,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.01,0.07,0.08,1.47,0.0,91,40,0.0,81,20,0.0,260,83,0.0,124,36,,,,1,,Vitalii,Mykolenko,Mykolenko,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.43,1.0,7.03,0,0,0
234,a,,,4.5,449,114,0,0,0,0,0.0,519,174,0,0,3.1,156,63,0,0,0.0,127,86,0.0,4.9,0,0,0,0,0,1.7,,0.0,0.0,0.0,0.0,0.01,0.02,0.03,1.39,0.0,327,117,0.0,351,123,0.0,317,114,0.0,342,117,,,,1,,Nathan,Patterson,Patterson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.76,0.76,1.13,11.72,0,0,0
235,a,,,4.0,570,175,0,0,0,0,0.2,369,137,0,0,0.0,442,160,0,0,0.0,48,30,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436,159,0.0,421,158,0.0,402,154,0.0,438,159,,,,1,,Adam,Aznou,Aznou,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
236,a,,,6.5,37,25,0,0,0,0,3.5,89,31,0,0,4.9,14,7,0,0,0.0,544,228,0.0,23.2,0,0,0,0,0,2.3,,0.0,0.0,0.0,0.0,0.15,0.18,0.33,1.38,0.0,70,21,0.0,34,33,0.0,50,29,0.0,37,27,2.0,,,1,,Kiernan,Dewsbury-Hall,Dewsbury-Hall,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.34,1.03,7.87,0,0,0
237,a,,,6.0,81,52,0,0,0,0,15.7,25,8,0,0,4.0,58,25,0,0,0.0,508,202,0.0,21.3,0,0,0,0,0,2.1,,0.0,0.0,0.0,0.0,0.22,0.14,0.36,1.38,0.0,72,22,0.0,54,47,0.0,35,21,0.0,36,26,,,1.0,1,,Iliman,Ndiaye,Ndiaye,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.26,1.42,1.04,9.16,0,0,0
239,i,0.0,,6.0,75,48,0,0,0,0,0.3,317,107,0,0,4.2,42,18,0,0,0.0,502,198,0.0,26.5,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.06,0.16,0.22,1.48,0.0,14,4,0.0,7,7,0.0,125,71,0.0,17,13,1.0,1.0,3.0,1,,James,Garner,Garner,Groin injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.29,1.32,1.0,12.08,0,0,0
240,i,0.0,,5.0,331,193,0,0,0,0,0.0,514,217,0,0,2.3,256,105,0,0,0.0,308,80,0.0,13.6,0,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0.03,0.04,0.07,1.5,0.0,223,99,0.0,222,136,0.0,250,133,0.0,258,125,,,,1,,Tim,Iroegbunam,Iroegbunam,Groin injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.49,1.1,1.04,11.52,0,0,0
